text,label
ນໍາມາເຊິ່ງປະສິດທິຜົນໃຫ້ສົມກັບຄວາມຮຽກຮ້ອງຕ້ອງການ,Lao
ແລະທີ່ຕັ້ງບົດບາດຂອງສະຫະກອນໃນພື້ນຖານເສດຖະກິດການຕະຫຼາດ,Lao
ຕາມກໍານົດທິດສັງຄົມນິຍົມຂອງຫວຽດນາ. ,Lao
"ນາງຫັນປ່ຽນບົດບາດ, ",Lao
ຍ້ອນວ່າພະນັກງານຫ້ອງການປີ1980ຍົກລະດັບເກມຂອງນາງ. ,Lao
"ແລະທ່ານHosain_Rahman ຫົວໜ້າບໍລິຫານບໍລິສັດAliph_Jawbone, ",Lao
ທ່ານຮູ້ບໍ່ວ່າທ່ານຕ້ອງການໂຄງສ້າງທີ່ແຕກຕ່າງກັນ. ,Lao
ນອກຈາກຄວາມສາມາດທີ່ຈະແຍກຕົວເຮົາອອກຈາກສັງຄົມໃນເວລາທີ່ພວກເຮົາອອກໄປເບິ່ງ,Lao
"ແລະ ເບິ່ງໂທລະສັບຂອງພວກເຮົາ,",Lao
ແມ່ນສິ່ງທີ່ເຈົ້າຢາກເຮັດກັບຮ່າງກາຍຂອງ ເຈົ້າບໍ ,Lao
"25ອັດຖິນັກຊ່ຽວຊານ, ທະຫານອາສາສະໝັກຫວຽດນາມທີ່ເສຍສະຫຼະຊີວິດຢູ່ລາວ",Lao
ໂດຍກອງທ້ອນໂຮມຂຸມຝັງສົບນັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດທະຫານເຂດ2 ,Lao
"ຊອກເຫັນຄົ້ນຫາດ້ວຍການຊ່ວຍເຫຼືອຢ່າງສຸດຈິດສຸດໃຈຂອງອຳນາດການປົກຄອງ, ປະຊາຊົນທ້ອງຖິ່ນ 2 ປະເທດ, ",Lao
ພິເສດແມ່ນອຳນາດການປົກຄອງທ້ອງຖິ່ນບັນດາແຂວງພາກເໜືອຂອງລາວ. ,Lao
"ເພື່ອເປັນເຈົ້າການຮັບມືກັບພາຍຸ, ",Lao
"ສະກັດກັ້ນຜົນເສຍຫາຍຍ້ອນພາຍຸແລະນ້ຳຖ້ວມ,",Lao
"ທ່ານນາຍົກລັດຖະມົນຕີໄດ້ຮຽກຮ້ອງໃຫ້ຄະນະຊີ້ນຳ ສູນກາງກ່ຽວກັບການປ້ອງກັ, ຕ້ານໄພທຳມະຊາດ,",Lao
"ຄະນະກຳມະການແຫ່ງຊາດຮັບມືກັບໄພທຳມະຊາດ ແລະ ກູ້ໄພກູ້ຊີບ, ",Lao
"ບັນດາກະຊວງ,ອົງການທຽບເທົ່າ ກະຊວງ, ອົງການຂຶ້ນກັບລັດຖະບານແລະບັນດາທ້ອງຖິ່ນທີ່ກ່ຽວຂ້ອງ ",Lao
"ສຸມໃສ່ຊີ້ນຳ, ຜັນຂະຫຍາຍບັນດາມາດຕະການຮັບມືກັບພາຍຸ.",Lao
"ການປະຕິວັດອິດສະລາມ, ບໍ່ມີອີກແລ້ວCyrus; ",Lao
"ພວກເຮົາບໍ່ສົນໃຈໄລຍະເວລາປະຫວັດສາດດັ່ງກ່າວ, ",Lao
"ພວກເຮົາສົນໃຈອີຣານອິສລາມ-ຈົນກ່ວາອີຣັກ, ",Lao
"ເຊິ່ງເປັນປະເທດມະຫາອຳນາດໃໝ່ທີ່ພວກເຮົາກຳນົດວ່າເປັນຂອງ,ໂຈມຕີ ອີຣານ. ",Lao
"ລາວຈະໃຊ້ເງິນ$ 10,000ເພື່ອຊື້ເວບໄຊທ໌",Lao
ພຽງ ແຕ່ສຳລັບຜູ້ຍິງທີ່ມັກມີເພດສຳພັນຢູ່ເທິງລົດຫລືລົດກິລາທີ່ມີລາຄາແພງ. ,Lao
"ສະນັ້ນ, ໃນຂອບເຂດທີ່ວິວັດທະນາການບໍ່ສົນໃຈ, ",Lao
"ຖ້າວ່າເຊື້ອສາຍພັນໄດ້ຖືກຖ່າຍທອດໂດຍບຸກຄົນ, ",Lao
"ມີຊີວິດຢູ່ເປັນເວລາດົນນານຫຼືໂດຍການສືບພັນ, ",Lao
"ມັນມີຂໍ້ກຳນົດທີ່ແນ່ນອນກ່ຽວກັບມັນ, ",Lao
"ນັ້ນແມ່ນສາເຫດທີ່ວ່າຊະນິດຕ່າງໆມີຊີວິດທີ່ແຕກຕ່າງກັນ, ",Lao
ແຕ່ວ່າຢູ່ທີ່ນັ້ນບໍ່ແມ່ນຊະນິດທີ່ເປັນອະມະຕະ. ,Lao
"ດຽວນີ້ທ່ານສາມາດຈິນຕະນາການເລື່ອງນີ້ໄດ້ຖ້າnectar ເປັນສິ່ງທີ່ມີຄຸນຄ່າແລະ ລາຄາແພງຕໍ່ຕົ້ນໄມ້ ແລະ ນ້ຳມັນກໍ່ດຶງດູດຜູ້ປະສົມເກສອນຫຼາຍ, ",Lao
"ຫຼັງຈາກນັ້ນ, ຄືກັນກັບການຫາຄູ່ຂອງມະນຸດ, ",Lao
ຄົນເຮົາສາມາດເລີ່ມຫລອກລວງໄດ້. ,Lao
"ແລະປະຊາຊົນໃນເວລານັ້ນ ຢ້ານວ່າອາຟຼິກາໃຕ້ໃນທີ່ສຸດກໍ່ຈະເດີນຕາມເສັ້ນທາງດຽວກັນທີ່ປະເທດRwandaໄດ້ປະຕິບັ, ",Lao
ສະນັ້ນຮິດແໜ້ນເຊິ່ງກັນແລະກັນໃນສິ່ງທີ່ເບິ່ງຄື່ວ່າສົງຄາມກາງເມືອງບໍ່ມີບ່ອນຢຸດ.,Lao
"ຄົນເຮົາອາດຄິດວ່າ, ໃນຄວາມເປັນຈິງແລ້ວການປະດິດຄິດແຕ່ງແຕ່ລະຢ່າງແມ່ນຫຼາຍເກີນສຳລັບຄວາມຄິດສ້າງສັນຂອງຜູ້ປະດິດສ້າງ. ",Lao
"ຂ້າພະເຈົ້າບໍ່ຮູ້ວ່າມີຈັກຄົນທີ່ຮູ້ມັນ, ",Lao
ແລະບໍ່ໄດ້ຊື້ມັນຈາກແຫຼ່ງທີ່ມີຄວາມຍືນຍົງ,Lao
ເຊິ່ງສາມາດສ້າງການຕັດໄມ້ທຳລາຍປ່າເຊິ່ງກວມເອົາ 20 ສ່ວນຮ້ອຍຂອງອາຍພິດເຮືອນແກ້ວໃນໂລກ.,Lao
ແມ່ຂອງຂ້ອຍເວົ້າວ່າວິນຍານຂອງແມ່ຕູ້ໄດ້ແນະນຳຂ້ອຍໃນເຫຼັ້ມທຳອິດເພາະວ່າຂ້ອຍເບິ່ງຄືວ່າເຂົ້າໃຈສິ່ງທີ່ຂ້ອຍບໍ່ຄາດຄິດ.,Lao
"ເສືອຂາວທີ່ມີຊີວິດຢູ່ໃນອາເມລິກາເໜືອທັງໝົດແມ່ນເປັນຜົນມາຈາກການລ້ຽງລູກເສືອແມ່ ທີ່ມີເສືອຊາຍພໍ່ເສືອກັບເສືອ, ພີ່ນ້ອງ",Lao
ອະນຸຍາດໃຫ້ມີເງື່ອນໄຂທາງພັນທຸກຳທີ່ ຜະລິດເສືອຂາວການຄ້າ. ,Lao
"ແລະໃນເວລາທີ່ພວກເຮົາສ້າງວັດຖຸສາມມິຕິ, ",Lao
"ພວກເຮົາບໍ່ເລີ່ມຕົ້ນດ້ວຍຍົນ,ແຕ່ວ່າມີຕັນ. ",Lao
"ໃນເວລາພວກເຮົາທາສີອາຄານທຳອິດ, ",Lao
"ໂດຍການຖອກສີສົ້ມທີ່ຮຸ່ງເຫລື້ອມເຕັມໄປດ້ວຍສີເທົາມືດຂອງສີໜ້າ, ",Lao
ສິ່ງທີ່ບໍ່ສາມາດຄາດຄິດໄດ້ເກີດຂື້ນ. ,Lao
"ຕົວຈິງແລ້ວ,ມັນແມ່ນແບບຟອມໜື່ງກິດຈະກຳທາງດ້ານການເມືອງໃນສະພາບການທີ່ງົບປະມານຂອງເມືອງທີ່ຂ້າພະເຈົ້າມີຫຼັງຈາກໄດ້ຖືກເລືອກຕັ້ງແມ່ນສູນລວມທັງໝົດ 0. ",Lao
"ບາງສີ່ງບາງຢ່າງເຖິງຢ່າງໃດກໍ່ຕາມ, ",Lao
ດຽວນີ້ພວກເຮົາຮູ້ສຶກເປັນທຳມະຊາດກັບມັນ. ,Lao
"PVNສຸມໃສ່ສ້າງໂຄງປະກອບກົງຈັກການຄຸ້ມຄອງຮອບດ້ານຄືນໃໝ່, ",Lao
"ນັບແຕ່ບໍລິສັດແມ່ຕະຫລອດຮອດບັນດາຫົວໜ່ວຍສະມາຊິກ, ",Lao
"ຕາມທິດກະທັດລັດ, ຍົກສູງປະສິດທິຜົນວຽກງານຄຸ້ມຄອງ, ",Lao
"ການນຳພາ, ການບໍລິຫານວິສາຫະກິດ; ",Lao
"ການສ້າງໂຄງປະກອບການລົງທຶນຄືໃໝ່, ",Lao
"ການບໍລິຫານເພື່ອຕ້ານການຮົ່ວໄຫຼ, ",Lao
"ການຟຸມເຟືອຍພ້ອມທັງຍູ້ແຮງເລື່ອງໝູນໃຊ້ເຕັກໂນໂລຢີ 4.0 ໃນການເຄື່ອນໄຫວຜະລິດດຳເນີນທຸລະກິດ, ",Lao
ຮັບປະກັນການພັດທະນາແບບຍືນຍົງ. ,Lao
ບໍ່ມີໃຜເຄີຍຍ່າງຂ້າມທະເລ Antarctic ໄປຫາSouth_Pole ແລະ ຫັນຫລັງກັບ. ,Lao
ວົງເງິນການຄ້າສົ່ງອອກ - ນຳເຂົ້າຂອ ຫວຽດນາມຈະ ລື່ນກາຍຄາດໝາຍ500 ຕື້ USD. ,Lao
ກອງປະຊຸມໂດຍກົງທາງເຄືອຂ່າຍອີນເຕີແນັດຜັນຂະຫຍາຍວຽກງານວັດທະນະທຳກິລາ ແລະ ທ່ອງທ່ຽວ ປີ 2018 ,Lao
"ໄດ້ດຳເນີນໃນຕອນເຊົ້າວັນທີ 11 ມັງກອນໄດ້ດຳເນີນໃນພາບດຽວກັນທັງ ຢູ່ຮ່າໂນ້ຍ, ດາຫນັງ ແລະ ນະຄອນ ໂຮ່ຈິມີນ. ",Lao
"ທີ່ກອງປະຊຸມຜູ້ຕາງໜ້ບັນດາ ກະຊວງ, ຂະແໜງການ, ວິສາຫະກິດໄດ້ຮັບຟັງການແນະນຳໂດຍສັງເຂບກ່ຽວກັບສັນຍາEVFTA, ",Lao
ຜົນປະໂຫຍດຍຸດທະສາດ ແລະ ວິວັດການກ້າວໄປເຖິງການໃຫ້ສັດຕະຍາບັນສັນຍາ; ,Lao
ແນະນຳຄຳໝັ້ນສັນຍາກ່ຽວກັບຊັບສິນທາງປັນຍາໃນສັນຍາ. ,Lao
EVFTAກາລະໂອກາດສຳລັບຫວຽດນາມ … ,Lao
"ພ້ອມກັນນັ້ນ,ໄດ້ຍົກອອກບັນດາຄຳຕັກເຕືອນກ່ຽວກັບບັນດາຄຳໝັ້ນສັນຍານັ້ນ, ",Lao
ພິເສດແມ່ນບັນດາຂໍ້ກຳນົດກ່ຽວກັບຮົ້ວກີດຂວາງດ້ານເຕັກນິກໃນການຄ້າ. ,Lao
"ນີ້ແມ່ນເນື້ອໃນດໍາເນີນກອງປະຊຸມສະແດງໃຫ້ເຫັນຄໍາໝັ້ນສັນຍາ, ຄວາມມານະພະຍາຍາມ ແລະ ການປະກອບສ່ວນອັນແທດຈິງຂອງປະຊາຄົມASOSAI ",Lao
ໃນວິວັດການປະຕິບັດຕາມເປົ້າໝາຍແຫ່ງການພັດທະນາແບບຍືນຍົງຂອງສະຫະປະຊາຊາດ,Lao
"ແລະ ແກ້ໄຂບັນດາບັນຫາ, ສິ່ງທ້າທາຍກ່ຽວກັບສິ່ງແວດລ້ອມທົ່ວໂລກ,   ",Lao
"ພິເສດ, ກອງປະຊຸມຈະຮັບຮອງເອົາຖະແຫຼງການຮ່າໂນ້ຍ, ເອກະສານທາງການສະຫຼຸບບັນດາໝາກຜົນຂອງການເຮັດວຽກ ທີ່ສໍາຄັນ ທີ່ສຸດຂອງກອງປະຊຸມໃຫຍ່  ",Lao
ແລະ ສ່ອງແສງໃຫ້ເຫັນເຖິງຄໍາໝັ້ນສັນຍາການເຄື່ອນໄຫວຂອງປະຊາຄົມASOSAI ສໍາລັບບັນດາເປົ້າໝາຍ ພັດທະນາຂອງASOSAIໄລຍະ  2016 - 2021. ,Lao
"ຂ້ອຍຖາມລາວວ່າ "" ແມ່ນແລ້ ບໍ ? ",Lao
ນີ້ແມ່ນຕອນສຸດທ້າຍຂອງ ເສັ້ນທາງ ຖືກຕ້ອງບໍ?,Lao
ກັບຄືນສູ່ກາງສະຕະວັດທີ19 ເມື່ອຄົນຈີນມາອາເມລິກາເປັນຄັ້ງທຳອິດ. ,Lao
ແລະ ເມື່ອທ່ານປະເຊີນໜ້າກັບຄວາມຄາດຫວັງຂອງຄວາມຕາຍທີ່ຈະມາເຖິບທີ່ທ່ານຈະ ເລີ່ມຄິດຫຼາຍຢ່າງກ່ຽວກັບສິ່ງຕ່າງໆ. ,Lao
"ສາດສະດາຈານAhmed ຖືວ່າ: ເລື່ອງຈັດຕັ້ງWEFASEAN2018, ",Lao
ຫວຽດນາມພວມນຳໜ້າໃນການຊຸກຍູ້ ວັດທະນະທຳການດຳເນີນທຸລະກິດ ແລະ ,Lao
ໃນບັນດາຄວາມມານະພະຍາຍາມສ້າງວຽກເຮັດງານທຳຢູ່ພາຍໃນ ແລະ ນອກພາກພື້ນ. ,Lao
ຂ້ອຍເຫັນຕຶກສີຂາວ. ,Lao
"ຫິມະກຳລັງຕົກ, ຫິມະຂ້ອນຂ້າງ ບາງ. ",Lao
ກະຊວງກະສິກຳ ແລະ ພັດທະນາຊົນນະບົດໄດ້ຮຽກຮ້ອງວ່າ: ,Lao
"ຄວນຍູ້ແຮງວຽກງານໂຄສະນາກ່ຽວກັບຊົນນະບົດໃໝ່ຢ່າງແຮງກວ່າຕິດພັນກັບການໂຄສະນາໝາກຜົນ10 ປີ ແຫ່ງການປະຕີບັດມະຕິກກ່ຽວກັບກະສິກຳ, ຊາວກະສິກອນ, ຊົນນະບົດ; ",Lao
ແນະນຳ ແລະ ກະຕຸກຊຸກຍູ້ບັນດາທ້ອງຖິ່ນຜັນຂະຫຍາຍຢ່າງມີປະສິດທິຜົນບັນດາແຜນຮ່າງກໍ່ສ້າງຊົນນະບົດໃໝ່ພິເສດສະເພາະ,Lao
ເຊິ່ງທ່ານນາຍົກລັດຖະມົນຕີ ແລະ ຂັ້ນມີ ສິດອຳນາດອະນຸມັດຜ່ານຜັນຂະຫຍາຍໂຄງການວິທະຍາສາດ ແລະ ເຕັກໂນໂລຊີເພືຶ່ອ ຮັບ ໃຊ້ການກໍ່ສ້າງຊົນນະບົດໃໝ່ໄລຍະ 2016 – 2020. ,Lao
ແລະ ກາເຫລົ່ານີ້ໃຊ້ໄມ້ໃນທຳມະຊາດເພື່ອເອົາແມງໄມ້ ແລະ ອື່ນໆ ຈາກໄມ້. ,Lao
"ແລະ ແມ່ຂອງຂ້ອຍໄດ້ຖ່າຍຮູບເຫຼົ່ານີ້, ໃນອາທິດແລ້ວນີ້, ຈາກພົມຂອງພວກເຮົາ, ",Lao
ແລະ ຂ້ອຍຈື່ສິ່ງນີ້ມາຈົນຮອດມື້ນີ້. ,Lao
"ນີ້ແມ່ນເວທີປາໄສເພື່ອໃຫ້ບັນດາຜູ້ແທນແບ່ງປັນບົດຮຽນຂອງຫວຽດນາມ ແລະ ສາກົນກໍ່ຄືບັນດາວິສາຫະກິດ, ຕະຫລອດຮອດບັນດາອົງການຈັດຕັ້ງ ສາກົນ, ",Lao
"ຍົກອອກບັນດາຂໍ້ສະເໜີແນະປະກອບສ່ວນສະເໜີບັນດາມາດຕະການເໝາະສົມໃຫ້ແກ່ການປ້ອນກັນ, ສະກັດກັ້ນແຮງງານເດັກນ້ອຍ, ",Lao
ພິເສດແມ່ນໃນສະພາບການທີ່ດີບັນດາຄຳໝັ້ນ ສັນຍາສາກົນກ່ຽວກັບການຄ້າ. ,Lao
"ສັດຈະຕອບສະໜອງໂດຍການຢຸດ, ",Lao
ຄ້າຍຄືກັບກວາງໃນໂຄມໄຟຂອງລົດ. ,Lao
"ຂ້ອຍມີໜູ, ຄ້ອນຕີ, ໜູ, gerbils, ກະຮອກ. ",Lao
"ຄວາມພາກພູມໃຈຂອງປະຊາຊົນໃນບ່ອນທີ່ພວກເຂົາອາໄສຢູ່, ",Lao
ແລະ ຄວາມຮູ້ສຶກທີ່ຖືກຝັງເລິກໃນຫລາຍປີພາຍໃຕ້ຄວາມໂກດແຄ້ນຂອງການກໍ່ສ້າງທີ່ຜິດກົດໝາຍທີ່ ໂຫດຮ້າຍໃນສະຖານທີ່ສາທາລະນະ. ,Lao
"ບັນດາຜູ້ແທນເຂົ້າຮ່ວມການພົບປະກັບສື່ມວນຊົນເພື່ອປະກາດບັນດາການເຄື່ອນໄຫວ ແລະ ເຫດການໃຫຍ່,  ",Lao
ກ່າວຄຳເຫັນທີ່ ການພົບປະກັບສື່ມວນຊົນເພື່ອປະກາດບັນດາການເຄື່ອນໄຫວ ແລະ ເຫດການໃຫຍ່ເນື່ອງໃນໂອກາດສະເຫລີມສະຫລອງວັນແມ່ຍິງຫວຽດນາມຄື ວັນທີ 20 ຕຸລາ ,Lao
"ແລະ 87. ປີແຫ່ງວັນສ້າງຕັ້ງສະຫະພັນແມ່ຍິງຫວຽດນາມ, ",Lao
"ຊື່ງດຳເນີນໃນຕອນເຊົ້າວັນທີ 10 ຕຸລາ, ",Lao
ທ່ານນາງຫງວຽນທິຕວຽດຮອງປະທານສະຫະພັນແມ່ຍິງ ຫວຽດນາມໃຫ້ຮູ້ວ່າ: ,Lao
ລາງວັນແມ່ຍິງຫວຽດນາມເພື່ອແນໃສ່ຮັບຮູ້ການອຸທິດສ່ວນກຳລັງຫົວຄິດປະດິດສ້າງຂອງແມ່ຍິງໃນພາລະກິດສ້າງສາ ແລະ ປົກປັກຮັກສາປະເທດຊາດ. ,Lao
"ຕອນຄ່ຳວັນທີ23 ກັນຍາ, ພິທີອັດASEAN Para Game ຄັ້ງທີ 9ໄດ້ຈັດຕັ້ງຢູ່ສະໜາມກິລາແຫ່ງຊາດ Bukit Jalil ຢູ່ນະຄອນຫລວງ ກົວລາລຳເປີ, ມາເລເຊຍ. ",Lao
"ໃນລະຫວ່າງວັນທີ 10 - 11 ກໍລະກົດ, ຢູ່ນະຄອນໂຮ້ຍອ່ານ, ແຂວງກວາງນາມ, ທະນາຄານແຫ່ງລັດຫວຽດນາມສົມທົບກັບສະພາ",Lao
"ທີ່ປຶກສາການດຳເນີນທຸລະກິດAPEC, ທະນາຄານພັດທະນາອາຊີ ແລະ ອົງການປະສານງານຮ່ວມມືພັດທະນາ, ໄດ້ຈັດຕັ້ງເວທີປາໄສAPECປະຈຳປີ, ຄັ້ງທີ່7 ກ່ຽວກັບການເງິນຮອບດ້ານ. ",Lao
ເຂດກິນດື່ມສະຫງວນໃຫ້ແກ່ນັກຂ່າວໄດ້ເປີດປະຕູຕະຫຼອດ24/24 ຊົ່ວໂມງໃນຊຸມມື້ຈັດກອງປະຊຸມ.  ,Lao
ລັດຖະບານຫວຽດນາມຍາມໃດກໍ່ສ້າງທຸກເງື່ອນໄຂສະດວກໃຫ້ແກ່ບັນດາວິສາຫະກິດຍີ່ປຸ່ນ. ,Lao
RonaldJonesໄດ້ຮັບໃຊ້ໂທດປະຫານຊີວິດ8 ປີໃນຂໍ້ຫາຂົ່ມຂືນ ແລະ ຂ້າແມ່ຍິງອາຍຸ28ປີ. ,Lao
ພິທີໄຂງານບຸນ Festival ເຂົ້າສານ ແລະ ປະກາດເຄື່ອງໝາຍການຄ້າເຂົ້າສານຫວຽດນາມ. ,Lao
"ແລະ ໃນຂະນະທີ່ສ່ຽງຕໍ່ການໃຊ້ຄຳເວົ້າທີ່ບໍ່ເປັນ ລະບຽບ, ",Lao
ຂ້ອຍຖືວ່າມັນເປັນຂໍ້ເສຍສຳລັບທົ່ວໂລ.,Lao
ແລະ ຂ້ອຍຮູ້ສຶກວ່າສິ່ງທີ່ພວກເຮົາມີແມ່ນການເຊື່ອມຕໍ່ພິເສດເຊິ່ງຂ້ອຍຮູ້ສຶກຂອບໃຈຫລາຍ. ,Lao
"ດັ່ງນັ້ນພວກເຮົາເອົາໃຈໃສ່ການເບິ່ງເຫັນສູງຂື້ນ, ",Lao
ເບິ່ງຈາກມຸມມອງຂອງທ່ານມັນ ບໍ່ແມ່ນບ່ອນທີ່ທ່ານກຳລັງຊອກຫາ ຫຼື ບ່ອນທີ່ທ່ານ ກຳລັງເບິ່ງສາຍຕາກັບຄົນອື່ນ. ,Lao
"ປະມານ10 ປີທີ່ຜ່ານມາຂ້ອຍຢູ່ງານລ້ຽງ cocktailກັບເພື່ອນຄົນໜຶ່ງ ແລະ ພວກເຮົາກຳລັງນັ່ງຢູ່ທີ່ນັ້ນ, ",Lao
"ແລະ ຊາຍຄົນນັ້ນກຳລັງຈົ່ມວ່າກ່ຽວກັບຫອຍ, ",Lao
"ວ່າອີກາກຳລັງຂື້ນເດີ່ນຂອງລາວ,ເຮັດໃຫ້ມີຄວາມສົກກະປົກ. ",Lao
"ບັນດານັກກິລາໄດ້ແຂ່ງຂັນໃນ8 ປະເພດກິລາຄື: ລອຍນ້ຳ, ແລ່ນ ແລະ ລານ, ຍົກນ້ຳໜັກ, ຕີດອກປີກໄກ, boccia, ບານເຕະຄົນພິການຕາ ແລະ ປິງປອງ. ",Lao
"ແລະ ວັດຖຸນັ້ນເອງກໍ່ເຊີນຊວນການສຳຫຼວດສື່ສານ,ກວດສອບການສຳພັດ. ",Lao
"ເພື່ອເຄື່ອນຍ້າຍ ແລະ ຮັກສາຄວາມສົມດຸນ, ",Lao
Rezero ຕ້ອງໝຸນບານ. ,Lao
ດັ່ງນັ້ນສິ່ງທີ່ທ່ານເຮັດແມ່ນການສ້າງບັນດາການຈັດຕັ້ງທຸລະກິດຂອງລັດແບບນັ້ນ. ,Lao
"ຂ້າພະເຈົ້າບໍ່ຮູ້, ແຕ່ຕົວຈິງແລ້ວມັນແມ່ນສະຫມອງທີ່ມີຊີວິດຊີວາທີ່ພວກເຮົາພະຍາຍາມຮັກສາຊີວິດເພື່ອປະຕິບັດຄຳສັ່ງທີ່ພວກເຮົານຳອອກມາ. ",Lao
"ສະນັ້ນຂ້າພະເຈົ້າໄດ້ກັກຕົວຂ້ອຍໄວ້ໃນຫ້ອງຊອກຫາເນື້ອຫາຫຼັກ, ",Lao
ຈັດແຈງຂໍ້ຄວາມ ແລະ ຂຽນຄືນໃໝ່ດ້ວຍຄຳເວົ້າທີ່ ລຽບງ່າຍ. ,Lao
ຜູ້ຊ່ຽວຊານດ້ານmammography ອາເມລິກາ ທີ່ມີຄວາມສາມາດສູງໄດ້ສົ່ງສານນີ້ໄປຍັງWashington_Post. ,Lao
ງານວາງສະແດງໂດຍມີ1.600 ຮ້ານວາງສະແດງຂອງ450 ວິສາຫະກິດທີ່ມາຈາກ22 ປະເທດ ແລະ ເຂດແຄ້ວນເຂົ້າຮ່ວມ. ,Lao
"ວັນທີ 14 ມີນາ, ທີ່ຫໍພິພິທະພັນແຂວງ ຮຶງອຽນ, ຫໍພິພິທະພັນໄວໜຸ່ມ ຫວຽດນາມໄດ້ສົມທົບກັບຫໍພິພິທະພັນ ແຂວງຮຶງອຽນຈັດຕັ້ງພິທີໄຂງານວາງສະແດງ “ພະລັງຊີວິດເຈື່ອງຊາ - ສີສັນນ້ຳໃຈອາສາສະມັກ”. ",Lao
ປັດໄຈທີ່ຮັບຜິດຊອບທີ່ສຸດຕໍ່ການເກີດໄຟໄໝ້ ແມ່ນຄວາມໜາແໜ້ນຂອງເຕົ້ານົມ. ,Lao
ແຕ່ເປັນເວລາຫລາຍປີທີ່ຂ້ອຍໄດ້ປະຕິເສດດ້ວຍຄວາມຕັ້ງໃຈ ແລະ ໃນອາຊີບທຸກຢ່າງ ,Lao
"ຂ້ອຍໄດ້ກາຍເປັນທະນາຍຄວາມຂອງ Wall Street, ແທນທີ່ຈະເປັນນັກຂຽນທີ່ຂ້ອຍຕ້ອງການສະ ເໝີໄປ ",Lao
